Date,Open-amzn,High-amzn,Low-amzn,Close-amzn,Adj Close-amzn,Volume-amzn,SMA-7,SMA-21,SMA-90,Change,% Change,Gain,Loss,Average Gain,Average Loss,RS,RSI-14 Day,TR,DM+1,DM-1,TR-14,DM+1-14,DM-1+14,dl+1-14,dl-1-14,dl14diff,dl14sum,DX,ADX
2/21/19,1619.849976,1623.560059,1600.910034,1619.439941,1619.439941,3483400,1625.38998,1634.113334,1630.056003,-2.660035,-0.163987118,0,2.660035,12.00949853,12.45909644,0.963914083,49.08127558,22.650025,0,9.209961,528.890014,89.440064,183.139892,16.9109005,34.62721684,17.71631635,51.53811734,34.37517174,12.43625925
2/22/19,1623.5,1634.939941,1621.170044,1631.560059,1631.560059,3096200,1624.468558,1633.710478,1629.080448,12.120118,0.74841417,12.120118,0,12.01739992,11.56916098,1.038744291,50.95019986,15.5,11.379882,0,447.670044,100.819946,126.069946,22.52103918,28.16135404,5.640314857,50.68239321,11.1287461,12.48624514
2/25/19,1641.449951,1654.599976,1630.390015,1633,1633,3184500,1623.468558,1632.66619,1627.351449,1.439941,0.08825547,1.439941,0,11.26186714,10.74279234,1.048318424,51.17946565,24.209961,19.660035,0,435.75,120.479981,117.559936,27.64887688,26.97875754,0.670119334,54.62763442,1.226703923,12.32388462
2/26/19,1625.97998,1639.98999,1616.130005,1636.400024,1636.400024,2665800,1625.432844,1631.039051,1625.967561,3.400024,0.208207226,3.400024,0,10.70030692,9.975450032,1.072664079,51.75291499,23.859985,0,14.26001,427.660034,104.849976,131.819946,24.51713222,30.82353634,6.306404119,55.34066856,11.39560523,12.68335848
2/27/19,1628.180054,1641.810059,1615.099976,1641.089966,1641.089966,3148800,1630.167132,1631.19143,1623.980116,4.689942,0.286601194,4.689942,0,10.27099514,9.262917887,1.108829341,52.58032594,26.710083,1.820069,0,415.450073,106.670045,122.659912,25.67577958,29.5245855,3.848805919,55.20036507,6.972428378,11.98637885
2/28/19,1635.25,1651.77002,1633.829956,1639.829956,1639.829956,3025900,1631.917132,1633.379522,1621.847894,-1.26001,-0.07677885,0,1.26001,9.537352627,8.691281609,1.097347095,52.32071972,17.940064,9.959961,0,386.040161,116.630006,82.22998,30.21188409,21.3008874,8.910996698,51.51277149,17.29861632,11.46685019
3/1/19,1655.130005,1674.26001,1651,1671.72998,1671.72998,4974900,1639.007132,1633.441424,1620.748005,31.900024,1.945325116,31.900024,0,11.1346863,8.07047578,1.379681521,57.97757005,34.430054,22.48999,0,372.86023,139.119996,56.079956,37.31156739,15.0404767,22.2710907,52.35204409,42.54101456,12.10514385
3/4/19,1685,1709.430054,1674.359985,1696.170044,1696.170044,6167400,1649.968576,1632.367141,1619.994005,24.440064,1.461962416,24.440064,0,12.08507042,7.494013224,1.612629983,61.72439241,37.700074,35.170044,0,387.270265,153.589967,56.079956,39.65963331,14.48083188,25.17880142,54.14046519,46.50643717,14.5665879
3/5/19,1702.949951,1707.800049,1689.01001,1692.430054,1692.430054,3681500,1658.664289,1635.519525,1618.917672,-3.73999,-0.220496171,0,3.73999,11.2218511,7.225868708,1.553010656,60.8305591,18.790039,0,0,357.66028,123.479982,56.079956,34.5243766,15.67967122,18.84470537,50.20404782,37.53622704,16.97663812
3/6/19,1695.969971,1697.75,1668.280029,1668.949951,1668.949951,3996000,1663.799996,1637.216663,1617.809338,-23.480103,-1.387360319,0,23.480103,10.42029031,8.386885444,1.242450535,55.40592828,29.469971,0,20.729981,367.860231,106.500001,76.809937,28.95121354,20.88019594,8.071017603,49.83140947,16.19664723,18.10905299
3/7/19,1667.369995,1669.75,1620.51001,1625.949951,1625.949951,4957000,1662.307129,1635.651896,1617.384338,-43,-2.576470311,0,43,9.675983859,10.85925077,0.891036045,47.11893501,49.23999,0,47.770019,383.16028,106.500001,93.53003,27.7951569,24.41015807,3.384998831,52.20531497,6.484011893,17.64665153
3/8/19,1604.01001,1622.719971,1586.569946,1620.800049,1620.800049,4667000,1659.408569,1634.725231,1615.591338,-5.149902,-0.316731889,0,5.149902,8.984842155,10.45144014,0.859675034,46.22716432,39.380005,0,33.940064,398.130251,106.500001,125.910035,26.7500399,31.62533736,4.875297456,58.37537726,8.351633318,18.06033493
